transaction_id,date,account_id,client_id,client_name,gender,age,account_type,transaction_type,amount,channel,city,balance_after
TXN00025,2025-05-12,ACC10259,CL1259,Arnaud Mbarga,M,48,Savings,Credit,344918,Branch,Bamenda,1538860
TXN00026,2025-10-03,ACC10188,CL1188,Didier Etoa,M,48,Savings,Debit,106941,Online,Garoua,810888
TXN00027,2025-02-25,ACC10037,CL1037,Marie Atangana,F,37,Current,Credit,72970,Mobile,Garoua,1010080
TXN00028,2025-12-09,ACC10086,CL1086,Patricia Tchoumi,F,63,Savings,Debit,27615,Mobile,Yaoundé,1370328
TXN00029,2025-02-21,ACC10142,CL1142,Yvonne Essomba,F,33,Current,Debit,28520,Branch,Douala,511295
TXN00030,2025-08-30,ACC10093,CL1093,Emmanuel Mballa,M,27,Savings,Credit,377102,ATM,Bamenda,2375119
TXN00031,2025-10-09,ACC10195,CL1195,Patrick Nana,M,44,Current,Debit,3716,Mobile,Yaoundé,1250258
TXN00032,2025-09-01,ACC10037,CL1037,Marie Atangana,F,37,Current,Credit,343303,Branch,Garoua,1280413
TXN00033,2025-06-14,ACC10264,CL1264,Marie Ngono,F,25,Current,Debit,151599,Online,Douala,657885
TXN00034,2025-11-30,ACC10188,CL1188,Didier Etoa,M,48,Savings,Debit,47903,Mobile,Garoua,869926
TXN00035,2025-08-02,ACC10041,CL1041,Franck Atangana,M,28,Savings,Debit,92784,Mobile,Bamenda,1171297
TXN00036,2025-09-11,ACC10027,CL1027,Clarisse Etoa,F,35,Current,Debit,209139,Mobile,Yaoundé,0
TXN00037,2025-01-20,ACC10080,CL1080,Arnaud Ngono,M,34,Current,Credit,460665,ATM,Yaoundé,1365462
TXN00038,2025-11-05,ACC10161,CL1161,Serge Mvondo,M,23,Current,Credit,298775,ATM,Bamenda,1884644
TXN00039,2025-08-21,ACC10171,CL1171,Didier Ngono,M,45,Current,Credit,150192,Branch,Garoua,1606303
TXN00040,2025-08-28,ACC10263,CL1263,Sandrine Nana,F,64,Savings,Debit,265352,Online,Douala,84078
TXN00041,2025-06-19,ACC10041,CL1041,Franck Atangana,M,28,Savings,Debit,60059,Mobile,Bamenda,1204022
TXN00042,2025-05-12,ACC10192,CL1192,Lionel Nana,M,56,Savings,Credit,340888,Mobile,Bafoussam,1252416
TXN00043,2025-06-01,ACC10192,CL1192,Lionel Nana,M,56,Savings,Debit,177743,Mobile,Bafoussam,733785
TXN00044,2025-08-07,ACC10086,CL1086,Patricia Tchoumi,F,63,Savings,Debit,213593,Online,Yaoundé,1184350
TXN00045,2025-12-09,ACC10140,CL1140,Serge Mballa,M,58,Current,Debit,211152,ATM,Bamenda,1653430
TXN00046,2025-09-02,ACC10289,CL1289,Jean Mballa,M,45,Current,Debit,74721,Online,Bamenda,495939
TXN00047,2025-05-14,ACC10283,CL1283,Lionel Atangana,M,60,Current,Debit,4580,Branch,Yaoundé,1909781
TXN00048,2025-05-17,ACC10009,CL1009,Paul Atangana,M,38,Current,Debit,235218,Online,Garoua,155892
TXN00049,2025-10-21,ACC10191,CL1191,Paul Atangana,M,27,Savings,Credit,306377,ATM,Bafoussam,1523171
TXN00050,2025-07-04,ACC10079,CL1079,Sandrine Essomba,F,55,Savings,Credit,343718,Mobile,Yaoundé,710032
TXN00051,2025-08-27,ACC10253,CL1253,Blaise Mvondo,M,61,Savings,Debit,62983,Online,Douala,119348
TXN00052,2025-12-18,ACC10039,CL1039,Patrick Nkou,M,24,Current,Debit,213555,Online,Bamenda,890998
TXN00053,2025-07-08,ACC10056,CL1056,Emmanuel Ngono,M,47,Savings,Debit,155684,Mobile,Yaoundé,1439003
TXN00054,2025-09-02,ACC10032,CL1032,Chantal Mvondo,F,24,Savings,Debit,71028,Mobile,Yaoundé,823330
TXN00055,2025-11-07,ACC10122,CL1122,Emmanuel Mballa,M,30,Savings,Credit,393028,Online,Yaoundé,790993
TXN00056,2025-10-09,ACC10289,CL1289,Jean Mballa,M,45,Current,Credit,369019,Branch,Bamenda,939679
TXN00057,2025-12-15,ACC10107,CL1107,Brigitte Etoa,F,28,Current,Debit,130743,ATM,Douala,169981
TXN00058,2025-12-27,ACC10246,CL1246,Estelle Mballa,F,28,Savings,Credit,277914,Online,Yaoundé,1208351
TXN00059,2025-02-27,ACC10205,CL1205,Jean Etoa,M,40,Savings,Debit,296786,ATM,Douala,1355775
TXN00060,2025-03-18,ACC10233,CL1233,Patricia Ngono,F,59,Savings,Debit,282364,Mobile,Garoua,107893
TXN00061,2025-09-24,ACC10196,CL1196,Arnaud Nana,M,60,Savings,Credit,448996,Branch,Bamenda,1776150
TXN00062,2025-10-26,ACC10048,CL1048,Emmanuel Mballa,M,28,Savings,Debit,108689,Branch,Yaoundé,512466
TXN00063,2025-08-17,ACC10051,CL1051,Patrick Ngono,M,61,Savings,Debit,268583,ATM,Bafoussam,1335890
TXN00064,2025-09-20,ACC10113,CL1113,Clarisse Mbarga,F,46,Savings,Credit,70176,Branch,Garoua,1330277
TXN00065,2025-01-30,ACC10272,CL1272,Patrick Nana,M,35,Savings,Credit,296651,Branch,Yaoundé,2007733
TXN00066,2025-01-12,ACC10228,CL1228,Brigitte Atangana,F,29,Savings,Credit,380207,Branch,Bamenda,1079447
TXN00067,2025-01-02,ACC10132,CL1132,Franck Nana,M,44,Current,Credit,429056,Mobile,Bamenda,1790633
TXN00068,2025-08-05,ACC10019,CL1019,Sandrine Mbarga,F,39,Savings,Debit,24744,Online,Garoua,976783
TXN00069,2025-01-31,ACC10103,CL1103,Didier Etoa,M,26,Current,Debit,284725,ATM,Douala,789897
TXN00070,2025-05-27,ACC10047,CL1047,Patricia Nana,F,21,Current,Credit,17638,Branch,Bamenda,1458864
TXN00071,2025-11-25,ACC10236,CL1236,Serge Mvondo,M,33,Current,Debit,72003,Branch,Bafoussam,946210
TXN00072,2025-07-15,ACC10274,CL1274,Lionel Mbarga,M,25,Current,Credit,468315,Branch,Bafoussam,2021833
TXN00073,2025-02-11,ACC10078,CL1078,Estelle Mballa,F,49,Current,Credit,197946,Mobile,Yaoundé,739714
TXN00074,2025-04-02,ACC10180,CL1180,Emmanuel Nkou,M,43,Current,Credit,63197,Branch,Douala,146292
TXN00075,2025-01-02,ACC10094,CL1094,Patricia Atangana,F,46,Savings,Debit,117753,ATM,Douala,1173966
TXN00076,2025-12-11,ACC10129,CL1129,Clarisse Ngono,F,42,Current,Credit,243747,Branch,Garoua,898183
TXN00077,2025-04-28,ACC10080,CL1080,Arnaud Ngono,M,34,Current,Credit,432677,Mobile,Yaoundé,1337474
TXN00078,2025-03-21,ACC10262,CL1262,Patrick Tchoumi,M,48,Savings,Credit,182487,Online,Bafoussam,389859
TXN00079,2025-01-17,ACC10218,CL1218,Brigitte Tchoumi,F,24,Savings,Debit,60163,Branch,Bafoussam,640809
TXN00080,2025-04-16,ACC10190,CL1190,Brigitte Essomba,F,30,Savings,Debit,127178,ATM,Garoua,114134
TXN00081,2025-08-17,ACC10166,CL1166,Marie Mballa,F,55,Current,Debit,18603,ATM,Yaoundé,804377
TXN00082,2025-07-25,ACC10271,CL1271,Didier Nana,M,39,Savings,Debit,24192,Branch,Bafoussam,1518579
TXN00083,2025-04-22,ACC10183,CL1183,Lionel Nkou,M,63,Current,Debit,283989,ATM,Bamenda,726595
TXN00084,2025-05-29,ACC10226,CL1226,Clarisse Essomba,F,27,Current,Debit,265186,Mobile,Bamenda,380713
TXN00085,2025-11-03,ACC10270,CL1270,Blaise Mbarga,M,64,Current,Credit,303763,Online,Bafoussam,1841777
TXN00086,2025-03-15,ACC10260,CL1260,Sandrine Mbarga,F,26,Current,Debit,159211,Mobile,Bafoussam,533557
TXN00087,2025-05-21,ACC10070,CL1070,Serge Nana,M,63,Current,Credit,158549,ATM,Bamenda,404396
TXN00088,2025-10-12,ACC10153,CL1153,Blaise Tchoumi,M,30,Current,Debit,224976,Branch,Douala,1162806
TXN00089,2025-11-26,ACC10249,CL1249,Nadine Mbarga,F,54,Savings,Debit,181572,Branch,Bafoussam,971654
TXN00090,2025-08-02,ACC10050,CL1050,Brigitte Nkou,F,26,Current,Credit,366066,Branch,Garoua,508522
TXN00091,2025-07-12,ACC10209,CL1209,Patrick Tchoumi,M,48,Current,Debit,158227,Mobile,Bamenda,1379700
TXN00092,2025-04-26,ACC10271,CL1271,Didier Nana,M,39,Savings,Credit,127336,Online,Bafoussam,1670107
TXN00093,2025-01-30,ACC10041,CL1041,Franck Atangana,M,28,Savings,Debit,243758,Branch,Bamenda,1020323
TXN00094,2025-09-29,ACC10055,CL1055,Paul Essomba,M,56,Savings,Credit,293178,Mobile,Garoua,2284645
TXN00095,2025-05-11,ACC10167,CL1167,Patricia Atangana,F,61,Savings,Credit,128327,Mobile,Bafoussam,1593561
TXN00096,2025-02-10,ACC10015,CL1015,Patricia Atangana,F,58,Current,Credit,340060,Branch,Garoua,850008
TXN00097,2025-10-02,ACC10254,CL1254,Marie Mballa,F,33,Savings,Credit,49477,Mobile,Yaoundé,1957114
TXN00098,2025-07-13,ACC10247,CL1247,Clarisse Mbarga,F,52,Savings,Debit,141751,ATM,Bamenda,1233554
TXN00099,2025-10-28,ACC10184,CL1184,Jean Mvondo,M,46,Savings,Debit,99651,Mobile,Garoua,978517
TXN00100,2025-06-20,ACC10061,CL1061,Marie Mbarga,F,37,Current,Credit,110518,Online,Douala,240749
TXN00101,2025-04-08,ACC10135,CL1135,Serge Nana,M,21,Current,Debit,112048,ATM,Bamenda,133425
TXN00102,2025-05-05,ACC10056,CL1056,Emmanuel Ngono,M,47,Savings,Credit,480430,Mobile,Yaoundé,2075117
TXN00103,2025-05-03,ACC10013,CL1013,Clarisse Etoa,F,57,Savings,Credit,480789,Online,Bafoussam,1905343
TXN00104,2025-08-27,ACC10224,CL1224,Yvonne Nana,F,54,Savings,Credit,200576,Online,Bamenda,1013725
TXN00105,2025-07-04,ACC10267,CL1267,Brigitte Etoa,F,28,Savings,Credit,138133,Branch,Yaoundé,1234704
TXN00106,2025-08-29,ACC10065,CL1065,Patrick Tchoumi,M,41,Current,Credit,52699,Online,Yaoundé,1166211
TXN00107,2025-06-10,ACC10293,CL1293,Yvonne Tchoumi,F,62,Current,Debit,195356,Branch,Garoua,980166
TXN00108,2025-04-24,ACC10124,CL1124,Chantal Mballa,F,53,Current,Debit,295924,Mobile,Bamenda,672122
TXN00109,2025-10-11,ACC10250,CL1250,Arnaud Mvondo,M,23,Current,Debit,137720,Branch,Garoua,444223
TXN00110,2025-04-11,ACC10261,CL1261,Patricia Atangana,F,31,Current,Credit,80907,Online,Garoua,1068605
TXN00111,2025-10-19,ACC10044,CL1044,Yvonne Essomba,F,25,Current,Debit,200145,Mobile,Yaoundé,1152520
TXN00112,2025-12-02,ACC10219,CL1219,Yvonne Nkou,F,24,Current,Credit,289695,Online,Bafoussam,500611
TXN00113,2025-09-08,ACC10093,CL1093,Emmanuel Mballa,M,27,Savings,Credit,401220,Branch,Bamenda,2399237
TXN00114,2025-06-30,ACC10153,CL1153,Blaise Tchoumi,M,30,Current,Credit,89202,Mobile,Douala,1476984
TXN00115,2025-09-08,ACC10251,CL1251,Patrick Mbarga,M,43,Savings,Debit,287547,Mobile,Douala,1380408
TXN00116,2025-01-18,ACC10091,CL1091,Lionel Ngono,M,36,Current,Debit,275697,ATM,Douala,1178259
TXN00117,2025-07-31,ACC10191,CL1191,Paul Atangana,M,27,Savings,Debit,4346,Mobile,Bafoussam,1212448
TXN00118,2025-12-29,ACC10275,CL1275,Solange Atangana,F,47,Savings,Debit,36634,Mobile,Bamenda,276195
TXN00119,2025-09-16,ACC10229,CL1229,Sandrine Ngono,F,63,Savings,Debit,115672,Branch,Bamenda,1289140
TXN00120,2025-11-13,ACC10282,CL1282,Paul Nkou,M,62,Current,Credit,32693,Branch,Bamenda,1448211
TXN00121,2025-01-04,ACC10080,CL1080,Arnaud Ngono,M,34,Current,Credit,9247,Branch,Yaoundé,914044
TXN00122,2025-09-29,ACC10013,CL1013,Clarisse Etoa,F,57,Savings,Debit,9769,Online,Bafoussam,1414785
TXN00123,2025-09-15,ACC10025,CL1025,Solange Ngono,F,37,Current,Credit,9987,Branch,Bamenda,504160
TXN00124,2025-02-19,ACC10282,CL1282,Paul Nkou,M,62,Current,Debit,57107,Mobile,Bamenda,1358411
TXN00125,2025-11-14,ACC10020,CL1020,Serge Nana,M,32,Savings,Debit,101627,Online,Bamenda,1773982
TXN00126,2025-07-23,ACC10057,CL1057,Chantal Etoa,F,38,Savings,Credit,141155,ATM,Douala,993403
TXN00127,2025-08-24,ACC10245,CL1245,Jean Mballa,M,34,Current,Credit,213875,Mobile,Douala,497050
TXN00128,2025-12-17,ACC10093,CL1093,Emmanuel Mballa,M,27,Savings,Debit,158273,ATM,Bamenda,1839744
TXN00129,2025-07-27,ACC10015,CL1015,Patricia Atangana,F,58,Current,Debit,50021,Branch,Garoua,459927
TXN00130,2025-09-01,ACC10000,CL1000,Jean Mballa,M,36,Savings,Credit,290774,ATM,Douala,1885266
TXN00131,2025-02-12,ACC10278,CL1278,Serge Ngono,M,31,Savings,Debit,90854,Branch,Bafoussam,684808
TXN00132,2025-06-19,ACC10173,CL1173,Brigitte Nkou,F,65,Savings,Credit,339117,ATM,Bafoussam,1318958
TXN00133,2025-04-19,ACC10138,CL1138,Solange Ngono,F,45,Savings,Debit,121463,Branch,Douala,1740532
TXN00134,2025-02-08,ACC10232,CL1232,Serge Mbarga,M,53,Savings,Credit,25411,Online,Bamenda,1463577
TXN00135,2025-06-11,ACC10119,CL1119,Arnaud Mvondo,M,65,Current,Debit,95033,ATM,Bamenda,565782
TXN00136,2025-12-31,ACC10292,CL1292,Estelle Etoa,F,58,Savings,Debit,76597,Branch,Bafoussam,79393
TXN00137,2025-03-25,ACC10103,CL1103,Didier Etoa,M,26,Current,Debit,157907,Mobile,Douala,916715
TXN00138,2025-10-04,ACC10145,CL1145,Blaise Mbarga,M,54,Savings,Credit,355961,Online,Garoua,1921035
TXN00139,2025-03-13,ACC10070,CL1070,Serge Nana,M,63,Current,Credit,397156,ATM,Bamenda,643003
TXN00140,2025-02-20,ACC10181,CL1181,Serge Nkou,M,29,Savings,Credit,29152,Branch,Garoua,1642925
TXN00141,2025-06-24,ACC10278,CL1278,Serge Ngono,M,31,Savings,Debit,40855,Branch,Bafoussam,734807
TXN00142,2025-11-21,ACC10122,CL1122,Emmanuel Mballa,M,30,Savings,Credit,16532,Online,Yaoundé,414497
TXN00143,2025-04-27,ACC10023,CL1023,Paul Essomba,M,40,Savings,Credit,258217,Online,Douala,813361
TXN00144,2025-04-06,ACC10111,CL1111,Blaise Mbarga,M,21,Current,Credit,227412,Branch,Bamenda,1261808
TXN00145,2025-05-07,ACC10117,CL1117,Lionel Mbarga,M,34,Current,Debit,155863,ATM,Douala,1279155
TXN00146,2025-03-20,ACC10201,CL1201,Emmanuel Ngono,M,60,Savings,Debit,141494,Branch,Yaoundé,479147
TXN00147,2025-06-12,ACC10172,CL1172,Patricia Ngono,F,47,Current,Debit,205274,Online,Yaoundé,1135842
TXN00148,2025-01-03,ACC10288,CL1288,Blaise Mbarga,M,38,Savings,Debit,48983,Online,Garoua,296458
TXN00149,2025-05-19,ACC10232,CL1232,Serge Mbarga,M,53,Savings,Credit,189700,ATM,Bamenda,1627866
TXN00150,2025-04-06,ACC10137,CL1137,Solange Mballa,F,47,Current,Debit,46768,Branch,Garoua,514372
TXN00151,2025-10-12,ACC10032,CL1032,Chantal Mvondo,F,24,Savings,Credit,293020,Branch,Yaoundé,1187378
TXN00152,2025-02-15,ACC10289,CL1289,Jean Mballa,M,45,Current,Debit,14768,Online,Bamenda,555892
TXN00153,2025-07-17,ACC10063,CL1063,Arnaud Tchoumi,M,33,Savings,Debit,171094,ATM,Bafoussam,1365336
TXN00154,2025-07-18,ACC10183,CL1183,Lionel Nkou,M,63,Current,Credit,217955,ATM,Bamenda,1228539
TXN00155,2025-03-28,ACC10282,CL1282,Paul Nkou,M,62,Current,Debit,274208,Branch,Bamenda,1141310
TXN00156,2025-05-18,ACC10034,CL1034,Nadine Mballa,F,50,Savings,Debit,73792,Online,Douala,905520
TXN00157,2025-03-16,ACC10252,CL1252,Nadine Nkou,F,43,Current,Credit,259538,ATM,Bamenda,2015589
TXN00158,2025-05-22,ACC10060,CL1060,Clarisse Mballa,F,43,Current,Debit,228895,Branch,Bamenda,1246157
TXN00159,2025-02-09,ACC10033,CL1033,Clarisse Etoa,F,33,Current,Credit,254876,Online,Douala,598859
TXN00160,2025-05-07,ACC10225,CL1225,Brigitte Atangana,F,47,Savings,Credit,496044,Branch,Bafoussam,2201172
TXN00161,2025-02-24,ACC10197,CL1197,Marie Ngono,F,38,Current,Debit,241051,Mobile,Bafoussam,545098
TXN00162,2025-07-22,ACC10045,CL1045,Paul Nana,M,34,Current,Credit,4548,Online,Bamenda,332329
TXN00163,2025-06-18,ACC10244,CL1244,Nadine Mvondo,F,49,Savings,Credit,422567,Branch,Bamenda,2372287
TXN00164,2025-11-30,ACC10252,CL1252,Nadine Nkou,F,43,Current,Credit,226766,Mobile,Bamenda,1982817
TXN00165,2025-11-05,ACC10123,CL1123,Patricia Tchoumi,F,39,Savings,Credit,169120,Mobile,Garoua,1202050
TXN00166,2025-04-01,ACC10170,CL1170,Jean Nkou,M,40,Savings,Credit,165722,Branch,Garoua,419548
TXN00167,2025-12-22,ACC10216,CL1216,Yvonne Tchoumi,F,58,Current,Credit,153802,Branch,Garoua,2016259
TXN00168,2025-07-12,ACC10072,CL1072,Blaise Tchoumi,M,25,Current,Debit,171858,Online,Garoua,1736505
TXN00169,2025-02-28,ACC10009,CL1009,Paul Atangana,M,38,Current,Credit,192373,Mobile,Garoua,583483
TXN00170,2025-01-14,ACC10170,CL1170,Jean Nkou,M,40,Savings,Debit,289410,Branch,Garoua,0
TXN00171,2025-05-30,ACC10260,CL1260,Sandrine Mbarga,F,26,Current,Debit,230876,ATM,Bafoussam,461892
TXN00172,2025-09-13,ACC10022,CL1022,Didier Nana,M,21,Current,Credit,353834,Mobile,Bamenda,1428514
TXN00173,2025-05-10,ACC10287,CL1287,Chantal Ngono,F,44,Savings,Credit,127888,Mobile,Bamenda,847122
TXN00174,2025-07-13,ACC10152,CL1152,Emmanuel Ngono,M,26,Current,Credit,414703,ATM,Bamenda,1764329
TXN00175,2025-09-03,ACC10063,CL1063,Arnaud Tchoumi,M,33,Savings,Credit,314489,Branch,Bafoussam,1850919
TXN00176,2025-01-19,ACC10089,CL1089,Brigitte Mbarga,F,51,Savings,Credit,286026,Online,Yaoundé,1069946
TXN00177,2025-05-08,ACC10061,CL1061,Marie Mbarga,F,37,Current,Debit,58341,Online,Douala,71890
TXN00178,2025-10-16,ACC10124,CL1124,Chantal Mballa,F,53,Current,Debit,24224,Branch,Bamenda,943822
TXN00179,2025-08-09,ACC10090,CL1090,Paul Nkou,M,22,Savings,Credit,418454,ATM,Douala,2228444
TXN00180,2025-05-13,ACC10182,CL1182,Blaise Mvondo,M,44,Savings,Debit,52698,Mobile,Bamenda,945226
TXN00181,2025-07-11,ACC10116,CL1116,Yvonne Mvondo,F,40,Current,Debit,234716,Branch,Bamenda,455712
TXN00182,2025-12-14,ACC10137,CL1137,Solange Mballa,F,47,Current,Credit,405929,Mobile,Garoua,967069
TXN00183,2025-09-05,ACC10033,CL1033,Clarisse Etoa,F,33,Current,Credit,13877,ATM,Douala,357860
TXN00184,2025-02-13,ACC10140,CL1140,Serge Mballa,M,58,Current,Credit,219090,ATM,Bamenda,2083672
TXN00185,2025-06-09,ACC10024,CL1024,Paul Mvondo,M,25,Savings,Debit,183624,Online,Bamenda,135632
TXN00186,2025-04-16,ACC10277,CL1277,Emmanuel Atangana,M,53,Savings,Credit,412183,Branch,Yaoundé,1548721
TXN00187,2025-02-19,ACC10165,CL1165,Emmanuel Etoa,M,64,Current,Credit,250646,Branch,Garoua,490024
TXN00188,2025-02-04,ACC10063,CL1063,Arnaud Tchoumi,M,33,Savings,Credit,168200,Online,Bafoussam,1704630
TXN00189,2025-01-12,ACC10055,CL1055,Paul Essomba,M,56,Savings,Debit,61337,Online,Garoua,1930130
TXN00190,2025-05-05,ACC10158,CL1158,Brigitte Nkou,F,63,Current,Debit,87168,Mobile,Garoua,0
TXN00191,2025-10-14,ACC10090,CL1090,Paul Nkou,M,22,Savings,Debit,174533,Branch,Douala,1635457
TXN00192,2025-07-27,ACC10257,CL1257,Patrick Atangana,M,46,Current,Credit,122559,Mobile,Garoua,883570
TXN00193,2025-07-22,ACC10132,CL1132,Franck Nana,M,44,Current,Debit,227562,ATM,Bamenda,1134015
TXN00194,2025-10-31,ACC10107,CL1107,Brigitte Etoa,F,28,Current,Debit,236706,Branch,Douala,64018
TXN00195,2025-12-27,ACC10001,CL1001,Didier Mbarga,M,58,Savings,Credit,3333,Mobile,Garoua,115822
TXN00196,2025-12-27,ACC10272,CL1272,Patrick Nana,M,35,Savings,Debit,146932,ATM,Yaoundé,1564150
TXN00197,2025-04-06,ACC10249,CL1249,Nadine Mbarga,F,54,Savings,Debit,282484,Online,Bafoussam,870742
TXN00198,2025-08-23,ACC10078,CL1078,Estelle Mballa,F,49,Current,Credit,104323,ATM,Yaoundé,646091
TXN00199,2025-09-08,ACC10210,CL1210,Brigitte Mbarga,F,46,Current,Credit,352640,Online,Yaoundé,763084
TXN00200,2025-07-20,ACC10194,CL1194,Lionel Nana,M,34,Current,Credit,321501,ATM,Douala,841776
TXN00201,2025-08-23,ACC10049,CL1049,Patricia Etoa,F,42,Current,Credit,185541,Mobile,Douala,1295460
TXN00202,2025-11-11,ACC10164,CL1164,Serge Mvondo,M,39,Savings,Credit,482654,ATM,Bafoussam,1514816
TXN00203,2025-03-02,ACC10084,CL1084,Serge Atangana,M,52,Current,Debit,165199,Mobile,Yaoundé,589715
TXN00204,2025-04-04,ACC10068,CL1068,Serge Mballa,M,34,Current,Credit,62314,Online,Garoua,1087464
TXN00205,2025-07-18,ACC10025,CL1025,Solange Ngono,F,37,Current,Debit,268819,Branch,Bamenda,225354
TXN00206,2025-08-05,ACC10281,CL1281,Emmanuel Tchoumi,M,59,Savings,Debit,202174,Mobile,Bafoussam,1578471
TXN00207,2025-10-03,ACC10031,CL1031,Chantal Etoa,F,27,Current,Credit,334185,Mobile,Yaoundé,1127200
TXN00208,2025-05-28,ACC10101,CL1101,Sandrine Nkou,F,52,Savings,Debit,257713,Mobile,Bafoussam,814753
TXN00209,2025-08-19,ACC10135,CL1135,Serge Nana,M,21,Current,Debit,165930,ATM,Bamenda,79543
TXN00210,2025-09-06,ACC10053,CL1053,Didier Nkou,M,44,Savings,Credit,6024,Mobile,Bamenda,957352
TXN00211,2025-10-15,ACC10284,CL1284,Brigitte Mvondo,F,36,Current,Debit,202297,Branch,Garoua,798853
TXN00212,2025-09-09,ACC10258,CL1258,Blaise Mvondo,M,44,Current,Credit,359978,Branch,Bamenda,2090107
TXN00213,2025-03-27,ACC10056,CL1056,Emmanuel Ngono,M,47,Savings,Credit,257219,ATM,Yaoundé,1851906
TXN00214,2025-05-30,ACC10181,CL1181,Serge Nkou,M,29,Savings,Debit,116620,ATM,Garoua,1497153
TXN00215,2025-10-03,ACC10191,CL1191,Paul Atangana,M,27,Savings,Credit,118882,Online,Bafoussam,1335676
TXN00216,2025-10-17,ACC10171,CL1171,Didier Ngono,M,45,Current,Debit,240768,Branch,Garoua,1215343
TXN00217,2025-05-18,ACC10231,CL1231,Patrick Mvondo,M,33,Savings,Debit,60877,Online,Douala,314066
TXN00218,2025-10-07,ACC10036,CL1036,Yvonne Mvondo,F,34,Savings,Debit,232403,Mobile,Garoua,162866
TXN00219,2025-12-01,ACC10211,CL1211,Sandrine Mbarga,F,48,Savings,Credit,54695,Mobile,Yaoundé,1018374
TXN00220,2025-01-17,ACC10169,CL1169,Paul Mvondo,M,65,Current,Credit,459652,Branch,Bafoussam,754339
TXN00221,2025-02-14,ACC10225,CL1225,Brigitte Atangana,F,47,Savings,Credit,183754,Branch,Bafoussam,1888882
TXN00222,2025-04-18,ACC10018,CL1018,Solange Mballa,F,56,Savings,Debit,125227,Online,Yaoundé,1354423
TXN00223,2025-11-12,ACC10238,CL1238,Lionel Ngono,M,37,Current,Credit,88022,Mobile,Yaoundé,1971178
TXN00224,2025-01-31,ACC10245,CL1245,Jean Mballa,M,34,Current,Debit,109497,Online,Douala,173678
TXN00225,2025-10-03,ACC10121,CL1121,Serge Tchoumi,M,63,Current,Credit,313925,Mobile,Douala,604628
TXN00226,2025-05-30,ACC10244,CL1244,Nadine Mvondo,F,49,Savings,Credit,370126,Online,Bamenda,2319846
TXN00227,2025-09-21,ACC10118,CL1118,Emmanuel Etoa,M,32,Savings,Credit,450847,ATM,Bamenda,829119
